help	बचाओ
that is a crippling cost disadvantage as weve already seen at grangemouth	यह पंगु करने वाला लागत नुकसान है जिसे हम लोगों ने ग्रैंगेमाउथ में पहले ही देखा है।
all the wage freezes in the world wont stop the european petrochemicals industry being hammered by cheap us shale gas	दुनिया में सभी वेतन फ़्रीज कर दिया जाना भी यूरोपीय पेट्रोकेमिकल्स उद्योग को सस्ती यूएस शेल गैस द्वारा प्रभावित होने से नहीं बचा सकता।
as a result revolt is brewing especially in france once the eus main cheerleader	परिणामस्वरूप लोगों में विद्रोह की भावना भड़क रही है खास तौर पर फ्रांस में जो कभी ईयू का प्रमुख प्रशंसक रहा था।
after the war the french political elite saw the eu as a vehicle to keep germany in check and to give paris equal billing in the world with washington	यूद्ध के पश्चात फ्रांस के शीर्ष राजनीतिज्ञों ने ईयू को जर्मनी को नियंत्रित रखने तथा पेरिस को दुनिया में वांशिगटन के बराबर बिलिंग प्रदान करने के उपाय के रूप में देखा था।
but berlin no longer needs paris as a passport to political legitimacy and has imposed its own economic policy on europe leaving the battered french economy struggling	लेकिन बर्लिन को अब राजनीतिक वैधता के लिए पासपोर्ट के रूप में पेरिस की आवश्यकता नहीं है तथा इसने यूरोप पर अपनी खुद की आर्थिक नीतियां लागू की हैं जिसके कारण फ्रांस की अर्थव्यवस्था डगमगा रही है।
result marine le pens rightwing antieu national front has just won a crucial byelection knocking the ruling socialists into third place	परिणामः मैरीन ली पेन के दक्षिणपंथी ईयू विरोधी नेशनल फ्रंट ने हाल ही में हुए उपचुनाव में सत्ताधारी सोशलिस्ट को तीसरे स्थान पर धकेलते हुए विजय प्राप्त की है।
the front is now the most popular party in france with 24 per cent of the vote a timely warning to british labour that they cant assume a split on the right will automatically favour the left	इस समय फ्रांस में फ्रंट 24 प्रतिशत वोट के साथ सबसे लोकप्रिय दल है यह ब्रिटिश लेबर के लिए यथासमय चेतावनी है कि वे यह मानकर नहीं चल सकते हैं कि बाएं के लिए विघटन दाएं के लिए स्वतः ही लाभ हेागा।
what is le pen doing with her newfound popularity among the french white working class	ली पेन फ्रांसीसी गोरों कामकाजी वर्ग के बीच में अपनी नई मिली प्रसिद्धि के साथ क्या कर रहा है
she wants to use next years eu elections to create an antieu anticommon currency bloc across the european parliament	यह दल अगले वर्ष होने वाले ईयू चुनावों का उपयोग यूरोपीय संसद में ईयू विरोधी सर्वनिष्ठ मुद्रा विरोधी गुट बनाना चाहता है।
if as is very possible antieu parties do well in these elections such a bloc could dominate the european parliament for the first time	यदि जैसा कि बहुत संभव है इन चुनावों में ईयू विरोधी दल अच्छा प्रदर्शन करते हैं तो इस प्रकार का गुट पहली बार यूरोपीय संसद को प्रभावित कर सकता है।
heres my point sometime soon growing antieu and anticommon currency feeling in europe will coalesce to kill the euro	मेरा दृष्टिकोण यह हैः जल्द ही यूरोप में ईयू विरोधी तथा सर्वनिष्ठ मुद्रा विरोधी भावना का संगम यूरो को खत्म कर देगा।
the eu wont disappear but it will revert to something more like the loose europe of the sovereign nations favoured by general de gaulle	यूरो पूरी तरह समाप्त तो नहीं होगा लेकिन यह फुटकर संप्रभु राष्ट्रों का यूरोप जैसे किसी रूप में वापस पहुंच जाएगा जिसे जनरल डि गॉल का समर्थन होगा।
germany and a few of its satellite economies might keep the euro but france and southern europe will revive their own currencies	जर्मनी तथा इसकी कुछ अनुचर अर्थव्यवस्थाएं यूरो को बनाए रख सकती है लेकिन फ्रांस तथा दक्षिणी यूरोप अपनी मुद्राएँ पुनः आरंभ करेंगे।
i expect the uk will distance itself from this project hoping to cosy up to the us	मुझे अपेक्षा है कि यूएस के साथ नजदीकियां बढ़ाने की उम्मीद में यूके खुद को इस प्रोजेक्ट से दूर रखेगा।
however washingtons growing interest in the pacific suggests britain will be left out in the atlantic cold	तथापि पैसिफिक में वांशिगटन की बढ़ती हुई रुचि संकेत देती है कि ब्रिटेन को ठंडे अटलांटिक में छोड़ दिया जाएगा।
where does this leave scotland	इन सबसे पश्चात स्कॉटलैंड का क्या होगा
we can choose to be a region of essentially little england	हम लिटिल इंग्लैंड का क्षेत्र आवश्यक रूप से बना रहना चुन सकते हैं।
or we can defend our own economic interests which includes telling berlin and brussels where to get off	अथवा हम अपने खुद आर्थिक हितों की रक्षा कर सकते हैं जिसमें बर्लिन तथा ब्रसेल्स को सही समय पर अलग होने के लिए बताना शामिल है।
i suspect that scotland could do well inside a looser european arrangement provided we kept our own currency	मुझे लगता है कि स्कॉटलैंड ढीली यूरोपीय व्यवस्था में बेहतर कार्यनिष्पादन कर सकता है बशर्ते कि हम अपनी खुद की मुद्रा रखें।
cooperation with other likeminded countries will be easier in a nonfederal europe of the nations	गैरसंघीय राष्ट्रों के यूरोप में अन्य समान सोच वाले देशों के साथ मिलजुलकर काम करना आसान होगा।
otherwise we should consider emulating norway and retaining our economic independence	अन्यथा हमें नॉरवे के मार्ग पर चलते हुए अपनी आर्थिक स्वतंत्रता बनाए रखने के बारे में विचार करना चाहिए।
the snp government in scotland is remarkably the most successful antiausterity political movement in europe having won a spectacular majority in 2011 on the basis of opposing the cuts proposed and implemented by labours chancellor alistair darling and the subsequent torylib dem coalition	स्कॉटलैंड में एसएनपी सरकार उल्लेखननीय रूप से यूरोप में सबसे सफल मितव्ययिताविरोधी राजनीतिक अभियान रहा है जिसने लेबर के चांसलर एलिस्टेयर डार्लिंग द्वारा प्रस्तावित तथा क्रियान्वित कटौतियों का विरोध करने तथा उसके पश्चात टोरीलिब डेम गठबंधन के आधार पर वर्ष 2011 में आश्चर्यजनक बहुमत जीता था।
it would be ridiculous now for scotland to vote for independence only to accept austerity imposed by berlin and brussels	स्कॉटलैंड के लिए इस समय स्वतंत्रता के लिए वोट करना बेतुकी बात होगी क्योंकि उस स्थिति में इसे बर्लिन और ब्रसेल्स द्वारा लगाए जाने वाले मितव्ययिता के नियम स्वीकार करने होंगे।
early puberty growing older sooner	समय से पहले यौवनः जल्दी बड़ा होना
africanamerican and hispanic girls tend to reach puberty earlier than their white counterparts research shows	शोध दर्शाते हैं कि अफ्रीकीअमेरिकी तथा हिस्पैनिक लड़कियाँ अपनी उम्र की गोरी लड़कियों की तुलना में कम उम्र में यौवन प्राप्त कर लेती हैं।
physical changes dont mean puberty is imminent	शारीरिक परिवर्तन का यह अर्थ नहीं है कि यौवन समीप है
theres no evidence that hormones or other chemicals are to blame	इस बात के कोई साक्ष्य नहीं हैं कि हॉरमोन अथवा किसी अन्य रसायन को दोष दिया जा सकता है
experts think the obesity epidemic might be one trigger of early puberty	विशेषज्ञों का मानना है कि स्थूलता प्रकोप कम आयु में यौवन का एक कारण हो सकता है
the trend toward early puberty is not as pronounced with boys	समय से पहले यौवन का मामला लड़कों में उतना प्रभावी नहीं है
former cnn correspondent pat etheridge is a journalist specializing in childrens health and family issues	सीएनएन के भूतपूर्व संवाददाता पैट ईथरिज बच्चों के स्वास्थ्य और पारिवारिक मुद्दों में विशेषज्ञ पत्रकार हैं।
should a mother be alarmed if her daughter begins to sprout breast buds and pubic hair at 7 or 8	क्या मां को चिंतित होना चाहिए यदि उसकी बेटी में 7 या 8 वर्ष की आयु में ही स्तनों का विकास तथा जननांग के बाल निकलना आरंभ हो जाएं
at the annual conference of the american academy of pediatrics this week in orlando florida pediatric endocrinologist dr paul kaplowitz explained that these early physical changes are quite common among american girls and represent a new norm	इस सप्ताह ऑरलैन्डो फ्लोरिडा में अमेरिकी बाल चिकित्सा अकादमी के वार्षिक सम्मेलन में बाल चिकित्सा एंडोक्राइनोलॉजिस्ट डॉ पॉल कैप्लोविट्ज ने स्पष्ट किया कि ये आरंभिक शारीरिक परिवर्तन अमेरिकी लड़कियों में आम बात है ये नया चलन दर्शाते हैं।
i spend a lot of time reassuring parents usually this does not signal a rapid progression into full puberty said kaplowitz	कैप्लोविट्ज कहते हैं मैं बहुतसा समय अभिभावकों को यह भरोसा दिलाने में खर्च करता हूँ कि आम तौर से यह पूर्ण यौवन की दिशा में द्रुत प्रगति को नहीं दर्शाता।
obvious signs of development such as budding breasts pubic and underarm hair and body odor are appearing sooner in girls	विकास के प्रत्यक्ष लक्षण जैसे स्तनों का अंकुरित होना जननांग और काँख के बाल तथा शारीरिक गंध लड़कियों में समय से पहले दिख रही है।
but there has been only a slight shift in the age of menarche the first period over the past four decades	लेकिन पिछले चार दशकों में रजोदर्शन प्रथम मासिकधर्म की आयु में बहुत मामूली परिवर्तन रहा है।
in the united states the average age is 125 years down from 1275 in 1970	युनाइटेड स्टेट्स में औसत आयु 125 वर्ष है जो वर्ष 1970 में 1275 थी।
once breasts begin to develop it takes at least two to three years before menarche said kaplowitz also author of early puberty in girls the essential guide to coping with this common problem	जब स्तन विकसित होना शुरू होते हैं तो प्रथम रजोदर्शन में कम से कम दो से तीन वर्ष लगते हैं कैप्लोविट्ज बताते हैं जो लड़कियों में समयपूर्व यौवनः इस आम समस्या से निपटने के लिए आवश्यक मार्गदर्शिका। के लेखक भी हैं
time is the most accurate test of how puberty is going to progress	यौवन के विकास का सबसे सटीक परीक्षण समय है।
there is debate about what constitutes the actual onset of puberty but it is considered precocious when breast enlargement is accompanied by a growth spurt before age 8	यौवन का आरंभ क्या है इस बारे में बहस होती है लेकिन जब 8 वर्ष की आयु से पहले स्तन विकास के साथ वृद्धि होती है दो इसे बालप्रौढ़ कहते हैं।
in most cases the process will slow down or stall something a pediatrician can monitor closely	अधिकांश मामलों में यह प्रक्रिया धीमी हो जाएगी अथवा रुक जाएगी जिसका बाल चिकित्सक नज़दीक से निरीक्षण कर सकते हैं।
a more rapid progression may warrant tests by an endocrinologist to rule out serious problems such as tumors or cysts	अधिक द्रुत प्रगति की स्थिति में एन्डोक्राइनोलॉजिस्ट द्वारा जांच की आवश्यकता हो सकती है ताकि ट्यूमर्स अथवा सिस्ट जैसी गम्भीर समस्याओं की संभावनाओं को दूर किया जा सके।
there are treatments to delay early menses and ward off another consequence premature aging of the bones that ultimately can lead to stunted growth and being short as an adult	समयपूर्व मासिकधर्म तथा अन्य परिणामों को विलम्बित करने के लिए उपचार हैंः अस्थियों की समयपूर्व आयुवृद्धि जिसके कारण अविकसित वृद्धि तथा वयस्क के रूप में नाटा कद हो सकता है।
recommendations for drug or hormone therapy are based on the childs age rate of development growth rate and emotional maturity	ड्रग अथवा हॉरमोन उपचार के लिए संस्तुतियाँ बच्चे की आयु विकास दर वृद्धि दर तथा भावनात्मक वयस्कता पर निर्भर करती हैं।
psychosocial aspects are important too	मनोवैज्ञानिक पहलू भी महत्वपूर्ण हैं।
kaplowitz is cautious with medication but acknowledges suppressing puberty may alleviate behavioral issues and girls feelings of being different from peers	कैप्लोविट़ज दवाओं के बारे में सजग हैं लेकिन स्वीकार करते हैं यौवन को दबाना व्यवहारात्मक मुद्दे बढ़ा सकता है तथा लड़कियों अपने साथियों से अलग महसूस करने लग सकती हैं।
the other big issue is understandable parents simply dont want their very young daughters having periods	दूसरी बड़ी समस्या समझी जा सकती हैः अभिभावक बस नहीं चाहते कि उनकी कम आयु की बेटी को मासिकधर्म हो।
they worry about the risk of pregnancy or even how they will handle hygiene said kaplowitz	कैप्लोविट़ज ने कहा वे गर्भ के जोखिम के बारे में चिंता करते हैं या फिर यह कि वे किस तरह से स्वच्छता बनाए रखेंगी।
it was a shock recalls one woman whose daughter started her period at 10	एक महिला जिनकी बेटी को 10 वर्ष की उम्रे में मासिक धर्म आरंभ हो गया था याद करती हैं यह झटका था।’
even though there were signs and we had talked about menstruation she was not emotionally prepared	यद्यपि इस बात के लक्षण थे तथा हमने मासिकधर्म के बारे में बात भी की थी लेकिन वह भावनात्मक रूप से तैयार नहीं थी।
she came home from school scared and upset to be the first among her friends	वह अपने स्कूल से डरी हुई तथा परेशान लौटी कि अपनी सहेलियों में उसे सबसे पहले मासिक धर्म आरंभ हुआ था।
there are lots of wellpublicized theories about the causes of precocious puberty	असामयिक यौवन के कारणों के बारे में बहुत से सुप्रचलित सिद्धांत हैं।
yet theres no consistent body of evidence that hormones in milk or other foods chemicals in the environment or sexual messages in the media are to blame	फिर भी इस बात के कोई सतत साक्ष्य नहीं है कि दूध अथवा अन्य खाद्यपदार्थों में हॉरमोन पर्यावरण में रसायन अथवा मीडिया में यौनोन्मुखी संदेशों पर आरोप लगाया जा सके।
boys like girls are hitting puberty earlier	लड़के भी लड़कियों की ही तरह समयपूर्व यौवन प्राप्त कर रहे हैं।
kaplowitz contends the premise that holds the most weight is the epidemic of obesity	कैप्लोविट़ज यह नियम निर्धारित करते हैं कि इसका सबसे मुख्य कारण स्थूलता का प्रकोप है।
he helped conduct a 2001 study of 6 to 9 year old girls that links body fat to the timing of puberty	उन्होंने वर्ष 2001 में 6 से 9 वर्ष की लड़कियों के ऊपर अध्ययन संचालित करने में सहायता की थी जो शरीर के वसा को यौवन के समय के साथ जोड़ती है।
other findings support this conclusion but there are many other contributing factors	अन्य परिणाम इस निष्कर्ष का समर्थन करते हैं परन्तु इसमें योगदान करने वाले बहुत से अन्य कारक भी हैं।
in this country africanamerican and hispanic girls tend to reach puberty earlier than their white counterparts	इस देश में अफ्रीकीअमेरिकी तथा हिस्पैनिक लड़कियों में अपनी आयु वाली गोरी लड़कियों से पहले यौवन प्राप्त करने की प्रवृत्ति होती है।
there are varying explanations	इस बात के बहुतसे स्पष्टीकरण हैं।
globally patterns of early puberty appear to be influenced by everything from economic conditions to climate to genes	वैश्विक स्तर पर समयपूर्व यौवन का प्रतिरूप आर्थिक स्थितियों से लेकर मौसम व जीन्स तक सभी चीजों से प्रभावित प्रतीत होते हैं।
another conundrum although boys are getting facial and pubic hair at younger ages the trend toward fullblown early puberty is not as pronounced as it is with girls	अन्य पहेलीः यद्यपि लड़के चेहरे व जननांग के बाल कम उम्र में प्राप्त कर रहे हैं लेकिन पूर्ण रूप से यौवन का चलन उनमें लड़कियों जितना स्पष्ट नहीं है।
other doctors attending the aap conference reinforced the complexities of the topic	एएपी सम्मेलन में उपस्थित होने वाले अन्य चिकित्सकों ने विषय की जटिलताओें का समर्थन किया।
the appearance of acne and pubic hair is common even in infants and toddlers	यहां तक कि शिशुओं और बच्चों में भी मुहांसे और जननांग के बाल देखा जाना आम हो गया है।
we need to be careful about how we identify the true onset of puberty said dr lawrence silverman a pediatric endocrinologist at goryeb childrens hospital in morristown new jersey	मॉरिसटाउन न्यूजर्सी में गॉरयेब चिल्ड्रेन्स हॉस्पिटल में बाल चिकित्सक एन्डोक्राइनोलॉजिस्ट डॉ लॉरेन्स सिल्वरमैन कहते हैं हमें इसके बारे में सावधान रहने की आवश्यकता है कि हम यौवन के वास्तविक आरंभ की किस तरह से पहचान करते हैं।
parents should not hesitate to get guidance from their pediatrician about how to talk with their child	अभिभावकों को इस बारे में राय लेने के लिए अपने बाल चिकित्सक से मार्गदर्शन लेने में संकोच नहीं करना चाहिए कि अपने बच्चों से कैसे बात करें।
it may mean having a soonerthanexpected conversation kaplowitz advised	कैप्लोविट्ज ने सलाह दी इसका अर्थ अपेक्षित समय से पहले बातचीत करना हो सकता है।
if you remain calm your child usually will respond well	यदि आप शांत रहेंगे तो आपका बच्चा सामान्यतः ठीक से उत्तर देगा।
girls who blossom early need reassurance that even when it happens ahead of schedule the process is a normal part of life	समय से पूर्व विकास करने वाली लड़कियों का यह भरोसा दिलाए जाने की आवश्यकता होती है कि भले ही यह समय से पूर्व हो रहा हो लेकिन यह सामान्य जीवन का हिस्सा है।
a drop in temperature of 31 degrees was recorded on thursday	वीरवार को तापमान में 31 डिग्री सेल्सियस गिरावट दर्ज की गई।
the rain and cold wind on wednesday night made people feel cold	बुधवार रात को हुई बारिश व ठंड हवा ने लोगों को खूब ठंड का एहसास कराया।
on thursday people left for the markets and their other destinations wearing sweaters	वीरवार को लोग स्वेटर पहन कर बाजारों व अपने गंतव्य की ओर निकले।
after the first rain of the winter people took out their quilts	सर्दी की पहली बारिश होने पर लोगों ने रजाई भी निकाल ली है।
people were seen enjoying the sunshine in the morning	सुबह में लोग धूप का आनंद लेते भी नजर आए।
once the climate changes there will be relief from colds and other illnesses but after that the clouds kept playing hide and seek with the sun	मौसम बदलते ही जुकाम आदि बीमारी से भी काफी राहत मिलेगी लेकिन उसके बाद दिनभर बादल छाए रहने से धूप छांव का सिलसिला जारी रहा।
the children also went to school wearing sweaters	बच्चे भी स्वेटर पहन कर अपने स्कूल पहुंचे।
according to the air force weather department the maximum temperatures on thursday was 251 degree celsius and the minimum temperatures was 137 degree celsius	वहीं एयरफोर्स मौसम विभाग के मुताबिक वीरवार को अधिकतम तापमान 251 डिग्री सेल्सियस व न्यूनतम तापमान 137 डिग्री सेल्सियस रहा।
78 millimetres of rainfall was recorded	जबकि 78 मिलीमीटर बारिश दर्ज की गई।
according to the weather department the skies will be cloudy	मौसम विभाग के अनुसार आगे भी आसमान पर बादल छाए रहेंगे।
jet makers feud over seat width with big orders at stake	सीट चौड़ाई के लिए विवाद से जेट निर्माताओं के बड़े ऑर्डर्स दांव पर ।
a row has flared up between leading plane makers over the width of touristclass seats on longdistance flights setting the tone for a bitter confrontation at this months dubai airshow	इस महीने के दुबई ऐर्शो के लिए झगड़े के लिए लय स्थापित करते हुए एक होड़ लग गयी है लंबी दूरी की उड़ानों के लिए पर्यटकक्लास की सीटों की चौड़ाई के लिए अग्रणी विमान निर्माताओं के बीच
the dispute focuses on the width of seats provided on longhaul flights for economy passengers not always the ones most courted by airlines but whose allocated space holds the key to efficiency claims for the latest jets offered by airbus sas and boeing co	विवाद लंबी उड़ानों के विमानो मे ईकॉनोमी क्लास की सीट की चौड़ाई पर केंद्रित है हमेशा जैसे एरलाइन्स द्वारा दिए जाने जैसे नही परंतु जिसकी आबंटित स्थान दक्षता को लेटेस्ट जेट एरबस sas और बोईन्ग कंपनी ने कुंजी होने का दावा किया है ।
airbus this week called for an industry standard that would provide for a seat at least 18 inches 46 cm wide in economy cabins but its us archrival boeing says it should be for airlines to decide	एरबस इस इस हफ्ते ईकॉनोमी कॅबिन मे कम से कम 18 इंच ४६ सेमी की विस्तृत सीट दे ऐसे इंडस्ट्री मानक की आशा की है लेकिन यह एरलाइन्स द्वारा तय होना चाहिए उसके मुख्याप्रतिद्वंद्वी बोइंग का कहना है ।
the dispute comes as plane makers vie to sell everlarger versions of their twinengined longdistance aircraft with potentially record orders expected at the november 1721 event	विवाद विमान निर्माताओ के बीच तब आता है जब 1721 की घटना के बाद संभावित दर्ज किए गये ऑर्डर मे से लंबी दूरी के एरक्रॅफ्ट के जुड़वां इंजन के बड़े वर्सन को बेचने की होड़ लगी ।
how the back of the plane is laid out particularly whether seating is 9 or 10 abreast is central to the economic performance claims being made for new minijumbo jet designs	विमान का पिछला विभाग कैसे बनाया गया है विशेष रूप से कि क्या सीटिंग 9 या 10 बराबर है अधिक क्षमता के दावो को ध्यान मे रखते हुए मिनी जंबो जेट्स के डिज़ाइन तैयार किए जा रहे है
boeing says its revamped 777x will hold 406 people based on economy seats more than 17 inches wide and set out 10 in each row	बोइंग का कहना है यह 777 x बनाया है जो 406 लोगों को 17 इंच चौड़ी और एक पंक्ति मे 10 लोगो एकनामिक विभाग मे रखेगा ।
airbus says the competing version of its a350 will carry 350 people in 18 inch wide economy seat laid out 9 abreast	एयरबस का कहना है की a350 के साथ होड़ करते हुए यह 350 लोगों को 18 इंच छोड़ी 9 बराबर रखी सीट में ले जाएगा।
plane giants often trade blows on technical matters through advertising in the trade press	विमान दिग्गज अक्सर व्यापार प्रेस में विज्ञापन के माध्यम से तकनीकी मामलों पर व्यापार प्रहार करते है ।
now airbus is appealing directly to the public ahead of the dubai airshow where the 777x is expected to dominate with more than 100 orders	अब एयरबस 777 x के साथ दुबई ऐर्शो मे 100 से अधिक ऑर्डर पर हावी होने की आशा है ऐसा आगे जनता को अपील कर रही है।
it recently previewed what may be the start of a new ad war by showing financiers a slide illustrating three people squashed together at a restaurant titled would you accept this	हाल ही मे यह देखा जा रहा है की विगियापन युद्ध की शुरुआत कुछ भी रही हो ये फिनँसेरो को यह दिखाते हुए एक साथ एक रेस्तरा मे तीनो एक साथ क्या यह आप स्वीकार करोगे
boeing is proposing longdistance flying in seats narrower than regional turboprops said airbus sales chief john leahy	एयरबस बिक्री प्रमुख जॉन लेही ने बोइंग क्षेत्रीय टर्बो से भी संकरीसीटों में लंबी दूरी की उड़ान पेश कर रही है कहा।
as diets change people get bigger but plane seating has not radically changed	बदलाव के रूप मे लोगों को भले बड़ा मिल रहा हो लेकिन विमान बैठने का तरीका बदला नहीं है।
between the early 1970s when the boeing 747 jumbo defined modern longhaul travel and the turn of the century the weight of the average american 40 to 49 year old male increased by 10 per cent according to us health department data	अमरीकी स्वास्थ्य विभाग के आंकड़ों के अनुसार 1970 के दशक के बीच जब बोइंग 747 जंबो ne आधुनिक लंबे समय ki यात्रा ko परिभाषित किया tha और सदी के ant me औसत 40 49 वर्षीय अमेरिकी नर ke वजन me 10 प्रतिशत वृद्धि हुई ।
the waist of the average 21st century american male is 397 inches according to us health statistics	अमेरिकी स्वास्थ्य सांख्यिकी के अनुसार 21 वीं सदी मे औसत अमेरिकी पुरुष की कमर 397 इंच है।
airbus says its rival is sticking to a seat concept from the 1950s when the average girth of the newly christened jet set was narrower	एयरबस का कहना है की इसका प्रतिद्वंद्वी 1950 की एक सीट अवधारणा से चिपके हुए है जब नये नाम जेट सेट की औसत परिधि संकरी थी ।
airbus says it has commissioned research suggesting an extra inch in seat width improves sleep quality by 53 per cent	एयरबस का कहना है की उन्होने रिसर्च कमिशन स्थापित किया है जो सीट की चौड़ाई में एक अतिरिक्त इंच 53 फीसदी नींद की गुणवत्ता में सुधार का सुझाव दे।
boeing disputes airbuss figures on seat measurements and says it is not up to manufacturers to step into decisions on how airlines balance fares and facilities	बोइंग ने एयरबस के सीट माप के आँकड़ो पर विवाद किया और कहा है की यह निर्माताओं के फैसले पर निर्भर नहीं है की कैसे एयरलाइंस किराए और सुविधाओ के बीच संतुलन बनती है ।
it also says research shows cabin experience depends on more than the width of a seat	यह भी कहते हैं की रिसर्च से पता चलता है एक सीट की चौड़ाई से अधिक केबिन के अनुभव पर निर्भर करता है।
it really comes down to providing flexibility to airlines and allowing them to do the things that they believe they need to do to be successful said boeing cabins expert kent craver	बोइंग केबिन विशेषज्ञ केंट क्रावेर ने कहा कियह वास्तव में एयरलाइनों को लचीलापन प्रदान करने मे और उन चीजों पर जिन्हेविश्वास है कि वे सफल होने के लिए क्या करने की जरूरत है यह बताते है ।
they dont want us to dictate to them what makes them profitable	वे हमें यह नही बताना चाहते की उन्हे किससे लाभ है।
they know their business better than anyone else	उन्हे उनके व्यवसाय का बेहतर पता है किसी और की तुलना मे।
for flyers it is about more elbow room but for suppliers it is increasingly an issue that could affect earnings	फ्लाइयर्स के लिए यह कोहनी कमरे के बारे में है लेकिन आपूर्तिकर्ताओं के लिए यह तेजी से एक मुद्दा है कि यह आय को प्रभावित कर सकता है।
behind the dispute is a race for plane orders with at least 700 billion of estimated business at list prices in coming decades enough to tip the scales of us and european exports	इस विवाद के पीछे कम से कम 700 अरब डॉलर के व्यापार का अंदाज है विमान ऑर्डर की स्पर्धा अमेरिकी और यूरोपीय निर्यात का तराजू टिप करने के लिए आने वाले दशकों में पर्याप्त है।
as reuters first reported in july seat layout is exactly what drives the battle between the latest jets	रायटर की रिपोर्टने बताया जुलाई में पहली बारकी क्या सीट लेआउट वास्तव में नये जेट विमानों के बीच लड़ाईका मुद्दा है।
both airbus and boeing claim 20 per cent better efficiency per seat in their latest twinengined longhaul designs than the market leader in that segment the 365seat boeing 777300er	एयरबस और बोइंग ने दावा किया की प्रति सीट 20 प्रतिशत कार्यदक्शता हुई है उनके नये जुड़वा एंजिन डिज़ाइन मे उस खंड के लीडर की 365सीट बोइंग 777300 एर की तुलना मे।
boeings performance claims depend in part on comparing the 10abreast 777x with an original 9abreast 777 design	बोइंग के प्रदर्शन का दावा निर्भर करता है 10 वाला 777 एक्स वन मूल 9 वाला 777 डिजाइन के साथ तुलना पर ।
the gain in unit costs is blunted compared with 10abreast now in use	इकाई लागत में लाभ के साथ 10 बराबर अब तुलना का उपयोग हुआ है।
the reason boeing are doing this is to cram more seats in to make their plane more competitive with our products said kevin keniston head of passenger comfort at europes airbus	केविन केनिस्टन यूरोप के एयरबस यात्री सुविधा के हेड का कहना है बोइंग का यह उनके विमान हमारे उत्पादों के साथ और अधिक प्रतिस्पर्धी बनाने के लिए और अधिक सीटों पर कब्जा करने के लिए कर रहा है ।
on the other hand analysts say full 10seat per row cabins for existing 777s suggest many passengers are voting for the denser layout which may go hand in hand with cheaper fares	दूसरी तरफ विश्लेषकों का कहना है पूरे 10सीटप्रति पंक्ति केबिन मौजूदा 777s के लिए सुझाव है कि कई यात्रियों का डेनसर लेआउट के पक्ष मे है जो साथ ही साथ सस्ते किराए के साथ जा सकते हैं।
eighteen inches in seat width would be great for passengers but the reality is that from a business point of the airbus proposal is driven by the threat of the 777 said cabin interiors expert mary kirby founder and editor of the runway girl network	केबिन अंदरूनी विशेषज्ञ मेरी कर्बी संस्थापक और संपादक के रनवे लड़की नेटवर्क ने कहा अठारह इंच की सीट चौड़ाई यात्रियों के लिए बहुत बढ़िया रहेगा लेकिन वास्तविकता यह है कि एयरबस का यह व्यापार बिंदु प्रस्ताव 777 की धमकी के द्वारा संचालित है
